"latitude","longitude","potencia"
8.55799,-71.1947,-90.5
8.55799,-71.1947,-103.5
8.55799,-71.1947,-99
8.55799,-71.1947,-84
8.55799,-71.1947,-98.5
8.55799,-71.1947,-89
8.55799,-71.1947,-91
8.55801,-71.1946,-96.5
8.55801,-71.1946,-91
8.55801,-71.1946,-98.5
8.55801,-71.1946,-92
8.55801,-71.1946,-78.5
8.55801,-71.1946,-86
8.55801,-71.1946,-97
8.55801,-71.1946,-95.5
8.55801,-71.1946,-88
8.55801,-71.1946,-83
8.55801,-71.1946,-88
8.55801,-71.1946,-91.5
8.55801,-71.1946,-92.5
8.55801,-71.1946,-80.5
8.55801,-71.1946,-88.5
8.55801,-71.1946,-91.5
8.55801,-71.1946,-91
8.55801,-71.1946,-92.5
8.55801,-71.1946,-91
8.55803,-71.194,-56.5
8.55803,-71.194,-82.5
8.55803,-71.194,-80
8.55803,-71.194,-75.5
8.55803,-71.194,-81.5
8.55803,-71.194,-80.5
8.55803,-71.194,-82
8.55803,-71.194,-79
8.55803,-71.194,-86.5
8.55803,-71.194,-82.5
8.55803,-71.194,-81.5
8.55803,-71.194,-84
8.55803,-71.194,-80
8.55803,-71.194,-77.5
8.55803,-71.194,-84.5
8.55803,-71.194,-75
8.55803,-71.194,-76.5
8.55803,-71.194,-77.5
8.55803,-71.194,-66
8.5581,-71.1946,-86
8.5581,-71.1946,-83
8.5581,-71.1946,-74.5
8.5581,-71.1946,-70
8.5581,-71.1946,-72.5
8.5581,-71.1946,-78.5
8.5581,-71.1946,-79
8.5581,-71.1946,-70
8.5581,-71.1946,-62.5
8.5581,-71.1946,-65
8.5581,-71.1946,-71.5
8.5581,-71.1946,-75.5
8.5581,-71.1946,-58
8.5581,-71.1946,-78.5
8.5581,-71.1946,-66
8.5581,-71.1946,-79.5
8.5581,-71.1946,-67.5
8.5581,-71.1946,-79.5
8.5581,-71.1946,-86
8.55829,-71.1948,-68
8.55829,-71.1948,-71
8.55829,-71.1948,-76
8.55829,-71.1948,-77
8.55829,-71.1948,-72.5
8.55829,-71.1948,-89.5
8.55829,-71.1948,-75
8.55829,-71.1948,-87
8.55829,-71.1948,-71.5
8.55829,-71.1948,-85
8.55829,-71.1948,-87
8.55829,-71.1948,-80.5
8.55829,-71.1948,-80
8.55829,-71.1948,-74.5
8.55829,-71.1948,-73
8.55829,-71.1948,-73
8.55829,-71.1948,-71
8.55829,-71.1948,-73.5
8.55829,-71.1948,-72.5
8.55831,-71.1944,-101.5
8.55831,-71.1944,-97.5
8.55831,-71.1944,-101.5
8.55831,-71.1944,-91.5
8.55831,-71.1944,-102.5
8.55831,-71.1944,-96
8.55831,-71.1944,-92.5
8.55831,-71.1944,-90.5
8.55831,-71.1944,-90
8.55831,-71.1944,-72
8.55831,-71.1944,-81.5
8.55831,-71.1944,-90.5
8.55831,-71.1944,-94
8.55831,-71.1944,-83.5
8.55831,-71.1944,-96
8.55831,-71.1944,-96
8.55831,-71.1944,-98
8.55831,-71.1944,-96.5
8.55831,-71.1944,-102
8.55842,-71.1924,-91
8.55842,-71.1924,-82.5
8.55842,-71.1924,-80.5
8.55842,-71.1924,-91.5
8.55842,-71.1924,-87.5
8.55842,-71.1924,-86.5
8.55842,-71.1924,-86
8.55842,-71.1924,-86.5
8.55842,-71.1924,-87
8.55842,-71.1924,-79.5
8.55842,-71.1924,-88.5
8.55842,-71.1924,-87
8.55842,-71.1924,-87.5
8.55842,-71.1924,-74.5
8.55842,-71.1924,-90.5
8.55842,-71.1924,-86
8.55842,-71.1924,-80
8.55842,-71.1924,-82
8.55842,-71.1924,-71.5
8.55855,-71.195,-91
8.55855,-71.195,-97.5
8.55855,-71.195,-92.5
8.55855,-71.195,-94
8.55855,-71.195,-95.5
8.55855,-71.195,-94
8.55855,-71.195,-86
8.55855,-71.195,-97
8.55855,-71.195,-91
8.55855,-71.195,-95
8.55855,-71.195,-98
8.55855,-71.195,-92.5
8.55855,-71.195,-98
8.55855,-71.195,-96.5
8.55855,-71.195,-87
8.55855,-71.195,-100.5
8.55855,-71.195,-101.5
8.55855,-71.195,-94
8.55855,-71.195,-101.5
8.55855,-71.195,-85
8.55855,-71.195,-100
8.55855,-71.195,-87
8.55855,-71.195,-93
8.55855,-71.195,-83.5
8.55855,-71.195,-95
8.55855,-71.195,-79
8.55855,-71.195,-80.5
8.55855,-71.195,-87.5
8.55855,-71.195,-81
8.55855,-71.195,-84.5
8.55855,-71.195,-84
8.55855,-71.195,-100
8.55855,-71.195,-86
8.55855,-71.195,-88
8.55855,-71.195,-87.5
8.55855,-71.195,-82.5
8.55855,-71.195,-89
8.55855,-71.195,-86.5
8.55862,-71.1942,-97
8.55862,-71.1942,-88
8.55862,-71.1942,-91
8.55862,-71.1942,-87.5
8.55862,-71.1942,-98
8.55862,-71.1942,-83.5
8.55862,-71.1942,-95.5
8.55862,-71.1942,-90.5
8.55862,-71.1942,-91.5
8.55862,-71.1942,-92.5
8.55862,-71.1942,-92
8.55862,-71.1942,-76.5
8.55862,-71.1942,-80
8.55862,-71.1942,-91.5
8.55862,-71.1942,-88
8.55862,-71.1942,-86
8.55862,-71.1942,-81
8.55862,-71.1942,-83
8.55862,-71.1942,-84
8.55878,-71.1921,-91
8.55878,-71.1921,-88
8.55878,-71.1921,-81
8.55878,-71.1921,-100.5
8.55878,-71.1921,-83
8.55878,-71.1921,-100.5
